date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:28:23	378/378	U-----	200	untouched ('OK')	text/plain	etag:%2259799837-17a%22	https://nest.com/robots.txt		(from )
12:28:24	39739/39739	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:28:23%20GMT	https://nest.com/	nest.com/index.html	(from )
12:28:24	1078/1078	---M--	200	added ('OK')	image/x-icon	etag:%22599b5b94-436%22	https://nest.com/images/global/favicon.ico	nest.com/images/global/favicon.ico	(from https://nest.com/)
12:28:25	280/280	---M--	200	added ('OK')	image/png	etag:%22599b5b94-118%22	https://nest.com/images/global/apple-touch-icon.png	nest.com/images/global/apple-touch-icon.png	(from https://nest.com/)
12:28:26	328/328	---M--	200	added ('OK')	image/png	etag:%22599b5b94-148%22	https://nest.com/images/global/apple-touch-icon-72x72.png	nest.com/images/global/apple-touch-icon-72x72.png	(from https://nest.com/)
12:28:27	484/484	---M--	200	added ('OK')	image/png	etag:%22599b5b94-1e4%22	https://nest.com/images/global/apple-touch-icon-114x114.png	nest.com/images/global/apple-touch-icon-114x114.png	(from https://nest.com/)
12:28:28	44009/44009	---M--	200	added ('OK')	application/font-woff	etag:%22599b5b94-abe9%22	https://nest.com/fonts/lineto_akkurat_pro/regular.woff	nest.com/fonts/lineto_akkurat_pro/regular.woff	(from https://nest.com/)
12:28:29	113782/113782	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22599b5b94-1bc76%22	https://nest.com/fonts/lineto_akkurat_pro/regular.svg	nest.com/fonts/lineto_akkurat_pro/regular.svg	(from https://nest.com/)
12:28:31	73160/73160	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599b5b94-11dc8%22	https://nest.com/fonts/lineto_akkurat_pro/regular.eot	nest.com/fonts/lineto_akkurat_pro/regular.eot	(from https://nest.com/)
12:28:31	102832/102832	---M--	200	added ('OK')	application/octet-stream	etag:%22599b5b94-191b0%22	https://nest.com/fonts/lineto_akkurat_pro/regular.ttf	nest.com/fonts/lineto_akkurat_pro/regular.ttf	(from https://nest.com/)
12:28:32	43981/43981	---M--	200	added ('OK')	application/font-woff	etag:%22599b5b94-abcd%22	https://nest.com/fonts/lineto_akkurat_pro/italic.woff	nest.com/fonts/lineto_akkurat_pro/italic.woff	(from https://nest.com/)
12:28:33	111272/111272	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22599b5b94-1b2a8%22	https://nest.com/fonts/lineto_akkurat_pro/italic.svg	nest.com/fonts/lineto_akkurat_pro/italic.svg	(from https://nest.com/)
12:28:35	69324/69324	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599b5b94-10ecc%22	https://nest.com/fonts/lineto_akkurat_pro/italic.eot	nest.com/fonts/lineto_akkurat_pro/italic.eot	(from https://nest.com/)
12:28:35	98036/98036	---M--	200	added ('OK')	application/octet-stream	etag:%22599b5b94-17ef4%22	https://nest.com/fonts/lineto_akkurat_pro/italic.ttf	nest.com/fonts/lineto_akkurat_pro/italic.ttf	(from https://nest.com/)
12:28:36	43189/43189	---M--	200	added ('OK')	application/font-woff	etag:%22599b5b94-a8b5%22	https://nest.com/fonts/lineto_akkurat_pro/light.woff	nest.com/fonts/lineto_akkurat_pro/light.woff	(from https://nest.com/)
12:28:37	109121/109121	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22599b5b94-1aa41%22	https://nest.com/fonts/lineto_akkurat_pro/light.svg	nest.com/fonts/lineto_akkurat_pro/light.svg	(from https://nest.com/)
12:28:39	70932/70932	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599b5b94-11514%22	https://nest.com/fonts/lineto_akkurat_pro/light.eot	nest.com/fonts/lineto_akkurat_pro/light.eot	(from https://nest.com/)
12:28:39	100824/100824	---M--	200	added ('OK')	application/octet-stream	etag:%22599b5b94-189d8%22	https://nest.com/fonts/lineto_akkurat_pro/light.ttf	nest.com/fonts/lineto_akkurat_pro/light.ttf	(from https://nest.com/)
12:28:40	44441/44441	---M--	200	added ('OK')	application/font-woff	etag:%22599b5b94-ad99%22	https://nest.com/fonts/lineto_akkurat_pro/light_italic.woff	nest.com/fonts/lineto_akkurat_pro/light_italic.woff	(from https://nest.com/)
12:28:41	111925/111925	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22599b5b94-1b535%22	https://nest.com/fonts/lineto_akkurat_pro/light_italic.svg	nest.com/fonts/lineto_akkurat_pro/light_italic.svg	(from https://nest.com/)
12:28:43	69392/69392	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599b5b94-10f10%22	https://nest.com/fonts/lineto_akkurat_pro/light_italic.eot	nest.com/fonts/lineto_akkurat_pro/light_italic.eot	(from https://nest.com/)
12:28:44	101544/101544	---M--	200	added ('OK')	application/octet-stream	etag:%22599b5b94-18ca8%22	https://nest.com/fonts/lineto_akkurat_pro/light_italic.ttf	nest.com/fonts/lineto_akkurat_pro/light_italic.ttf	(from https://nest.com/)
12:28:44	35681/35681	---M--	200	added ('OK')	application/font-woff	etag:%22599b5b94-8b61%22	https://nest.com/fonts/lineto_akkurat_pro/book.woff	nest.com/fonts/lineto_akkurat_pro/book.woff	(from https://nest.com/)
12:28:45	101712/101712	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22599b5b94-18d50%22	https://nest.com/fonts/lineto_akkurat_pro/book.svg	nest.com/fonts/lineto_akkurat_pro/book.svg	(from https://nest.com/)
12:28:47	53724/53724	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599b5b94-d1dc%22	https://nest.com/fonts/lineto_akkurat_pro/book.eot	nest.com/fonts/lineto_akkurat_pro/book.eot	(from https://nest.com/)
12:28:47	77080/77080	---M--	200	added ('OK')	application/octet-stream	etag:%22599b5b94-12d18%22	https://nest.com/fonts/lineto_akkurat_pro/book.ttf	nest.com/fonts/lineto_akkurat_pro/book.ttf	(from https://nest.com/)
12:28:48	35989/35989	---M--	200	added ('OK')	application/font-woff	etag:%22599b5b94-8c95%22	https://nest.com/fonts/lineto_akkurat_pro/book_italic.woff	nest.com/fonts/lineto_akkurat_pro/book_italic.woff	(from https://nest.com/)
12:28:49	98048/98048	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22599b5b94-17f00%22	https://nest.com/fonts/lineto_akkurat_pro/book_italic.svg	nest.com/fonts/lineto_akkurat_pro/book_italic.svg	(from https://nest.com/)
12:28:50	54520/54520	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599b5b94-d4f8%22	https://nest.com/fonts/lineto_akkurat_pro/book_italic.eot	nest.com/fonts/lineto_akkurat_pro/book_italic.eot	(from https://nest.com/)
12:28:51	75180/75180	---M--	200	added ('OK')	application/octet-stream	etag:%22599b5b94-125ac%22	https://nest.com/fonts/lineto_akkurat_pro/book_italic.ttf	nest.com/fonts/lineto_akkurat_pro/book_italic.ttf	(from https://nest.com/)
12:28:52	35553/35553	---M--	200	added ('OK')	application/font-woff	etag:%22599b5b94-8ae1%22	https://nest.com/fonts/lineto_akkurat_pro/medium.woff	nest.com/fonts/lineto_akkurat_pro/medium.woff	(from https://nest.com/)
12:28:53	104231/104231	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22599b5b94-19727%22	https://nest.com/fonts/lineto_akkurat_pro/medium.svg	nest.com/fonts/lineto_akkurat_pro/medium.svg	(from https://nest.com/)
12:28:54	53508/53508	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599b5b94-d104%22	https://nest.com/fonts/lineto_akkurat_pro/medium.eot	nest.com/fonts/lineto_akkurat_pro/medium.eot	(from https://nest.com/)
12:28:55	76784/76784	---M--	200	added ('OK')	application/octet-stream	etag:%22599b5b94-12bf0%22	https://nest.com/fonts/lineto_akkurat_pro/medium.ttf	nest.com/fonts/lineto_akkurat_pro/medium.ttf	(from https://nest.com/)
12:28:56	36605/36605	---M--	200	added ('OK')	application/font-woff	etag:%22599b5b94-8efd%22	https://nest.com/fonts/lineto_akkurat_pro/medium_italic.woff	nest.com/fonts/lineto_akkurat_pro/medium_italic.woff	(from https://nest.com/)
12:28:57	99247/99247	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22599b5b94-183af%22	https://nest.com/fonts/lineto_akkurat_pro/medium_italic.svg	nest.com/fonts/lineto_akkurat_pro/medium_italic.svg	(from https://nest.com/)
12:28:58	53972/53972	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599b5b94-d2d4%22	https://nest.com/fonts/lineto_akkurat_pro/medium_italic.eot	nest.com/fonts/lineto_akkurat_pro/medium_italic.eot	(from https://nest.com/)
12:28:59	75544/75544	---M--	200	added ('OK')	application/octet-stream	etag:%22599b5b94-12718%22	https://nest.com/fonts/lineto_akkurat_pro/medium_italic.ttf	nest.com/fonts/lineto_akkurat_pro/medium_italic.ttf	(from https://nest.com/)
12:29:00	43701/43701	---M--	200	added ('OK')	application/font-woff	etag:%22599b5b94-aab5%22	https://nest.com/fonts/lineto_akkurat_pro/bold.woff	nest.com/fonts/lineto_akkurat_pro/bold.woff	(from https://nest.com/)
12:29:01	110951/110951	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22599b5b94-1b167%22	https://nest.com/fonts/lineto_akkurat_pro/bold.svg	nest.com/fonts/lineto_akkurat_pro/bold.svg	(from https://nest.com/)
12:29:03	71988/71988	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599b5b94-11934%22	https://nest.com/fonts/lineto_akkurat_pro/bold.eot	nest.com/fonts/lineto_akkurat_pro/bold.eot	(from https://nest.com/)
12:29:04	101944/101944	---M--	200	added ('OK')	application/octet-stream	etag:%22599b5b94-18e38%22	https://nest.com/fonts/lineto_akkurat_pro/bold.ttf	nest.com/fonts/lineto_akkurat_pro/bold.ttf	(from https://nest.com/)
12:29:04	45145/45145	---M--	200	added ('OK')	application/font-woff	etag:%22599b5b94-b059%22	https://nest.com/fonts/lineto_akkurat_pro/bold_italic.woff	nest.com/fonts/lineto_akkurat_pro/bold_italic.woff	(from https://nest.com/)
12:29:05	116521/116521	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22599b5b94-1c729%22	https://nest.com/fonts/lineto_akkurat_pro/bold_italic.svg	nest.com/fonts/lineto_akkurat_pro/bold_italic.svg	(from https://nest.com/)
12:29:07	69840/69840	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599b5b94-110d0%22	https://nest.com/fonts/lineto_akkurat_pro/bold_italic.eot	nest.com/fonts/lineto_akkurat_pro/bold_italic.eot	(from https://nest.com/)
12:29:08	100288/100288	---M--	200	added ('OK')	application/octet-stream	etag:%22599b5b94-187c0%22	https://nest.com/fonts/lineto_akkurat_pro/bold_italic.ttf	nest.com/fonts/lineto_akkurat_pro/bold_italic.ttf	(from https://nest.com/)
12:29:09	216594/216594	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2022%20Aug%202017%2019:29:08%20GMT	https://nest.com/nest-web-components.bundle.min.js?1503090728	nest.com/nest-web-components.bundle.minf199.js	(from https://nest.com/)
12:29:09	96/96	---M--	405	error ('Method%20Not%20Allowed')	application/json	date:Tue,%2022%20Aug%202017%2019:29:09%20GMT	https://nest.com/salesforce/api/v3/handraiser/subscribe	nest.com/salesforce/api/v3/handraiser/subscribe	(from https://nest.com/)
12:29:10	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:10%20GMT	http://nest.com/widget/in-your-home/	nest.com/widget/in-your-home/index.html	(from https://nest.com/)
12:29:10	19318/19318	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:29:10%20GMT	http://nest.com/widget/compatibility/	nest.com/widget/compatibility/index.html	(from https://nest.com/)
12:29:10	20123/20123	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:29:10%20GMT	http://nest.com/widget/pro-finder/	nest.com/widget/pro-finder/index.html	(from https://nest.com/)
12:29:10	19105/19105	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:29:10%20GMT	http://nest.com/widget/utility/	nest.com/widget/utility/index.html	(from https://nest.com/)
12:29:11	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:11%20GMT	http://nest.com/letter-from-the-ceo	nest.com/letter-from-the-ceo	(from https://nest.com/)
12:29:12	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:12%20GMT	http://nest.com/widget/troubleshooting/	nest.com/widget/troubleshooting/index.html	(from https://nest.com/)
12:29:12	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:12%20GMT	http://nest.com/widget/status/	nest.com/widget/status/index.html	(from https://nest.com/)
12:29:12	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:12%20GMT	http://nest.com/coming-soon/	nest.com/coming-soon/index.html	(from https://nest.com/)
12:29:12	22910/22910	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:29:12%20GMT	http://nest.com/widget/rebates/	nest.com/widget/rebates/index.html	(from https://nest.com/)
12:29:13	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:13%20GMT	http://nest.com/modal/be-the-first-wwn/	nest.com/modal/be-the-first-wwn/index.html	(from https://nest.com/)
12:29:13	19834/19834	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:29:13%20GMT	http://nest.com/widget/calculator/?saving-energy	nest.com/widget/calculator/index48f7.html	(from https://nest.com/)
12:29:13	19834/19834	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:29:13%20GMT	http://nest.com/widget/calculator/	nest.com/widget/calculator/index.html	(from https://nest.com/)
12:29:13	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:13%20GMT	http://nest.com/modal/be-the-first/	nest.com/modal/be-the-first/index.html	(from https://nest.com/)
12:29:14	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:14%20GMT	http://nest.com/thermostat/saving-energy/	nest.com/thermostat/saving-energy/index.html	(from https://nest.com/)
12:29:14	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:14%20GMT	http://nest.com/modal/be-the-first-announce/	nest.com/modal/be-the-first-announce/index.html	(from https://nest.com/)
12:29:14	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:14%20GMT	http://nest.com/support/	nest.com/support/index.html	(from https://nest.com/)
12:29:14	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:14%20GMT	http://nest.com/support/article/Learn-more-about-Sound-Check/	nest.com/support/article/Learn-more-about-Sound-Check/index.html	(from https://nest.com/)
12:29:15	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:15%20GMT	http://nest.com/thermostat/meet-nest-thermostat/	nest.com/thermostat/meet-nest-thermostat/index.html	(from https://nest.com/)
12:29:15	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:15%20GMT	http://nest.com/camera/meet-nest-cam-iq/	nest.com/camera/meet-nest-cam-iq/index.html	(from https://nest.com/)
12:29:15	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:15%20GMT	http://nest.com/camera/meet-nest-cam-outdoor/	nest.com/camera/meet-nest-cam-outdoor/index.html	(from https://nest.com/)
12:29:15	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:15%20GMT	http://nest.com/smoke-co-alarm/meet-nest-protect/	nest.com/smoke-co-alarm/meet-nest-protect/index.html	(from https://nest.com/)
12:29:53	41993/41993	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:29:16%20GMT	https://nest.com/blog/2017/08/10/solar-eclipse-meet-the-nest-thermostat/	nest.com/blog/2017/08/10/solar-eclipse-meet-the-nest-thermostat/index.html	(from https://nest.com/)
12:29:53	42089/42089	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:29:16%20GMT	https://nest.com/blog/2017/05/31/the-security-camera-that-outsmarts-other-security-cameras/	nest.com/blog/2017/05/31/the-security-camera-that-outsmarts-other-security-cameras/index.html	(from https://nest.com/)
12:29:53	38809/38809	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:29:16%20GMT	https://nest.com/blog/2017/04/13/we-heart-home/	nest.com/blog/2017/04/13/we-heart-home/index.html	(from https://nest.com/)
12:29:54	43222/43222	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:29:16%20GMT	https://nest.com/blog/2017/06/15/ways-to-celebrate-day-of-the-dads/	nest.com/blog/2017/06/15/ways-to-celebrate-day-of-the-dads/index.html	(from https://nest.com/)
12:29:55	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:54%20GMT	http://nest.com/rebates-and-rewards/	nest.com/rebates-and-rewards/index.html	(from https://nest.com/)
12:29:55	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:54%20GMT	http://nest.com/nest-pro-installation/?from-footer=true	nest.com/nest-pro-installation/index9b30.html	(from https://nest.com/)
12:29:55	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:55%20GMT	http://nest.com/works-with-nest/	nest.com/works-with-nest/index.html	(from https://nest.com/)
12:29:56	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:56%20GMT	http://nest.com/where-to-buy/	nest.com/where-to-buy/index.html	(from https://nest.com/)
12:29:56	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:56%20GMT	http://nest.com/about/	nest.com/about/index.html	(from https://nest.com/)
12:29:56	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:56%20GMT	http://nest.com/blog/	nest.com/blog/index.html	(from https://nest.com/)
12:29:57	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:57%20GMT	http://nest.com/responsibility/	nest.com/responsibility/index.html	(from https://nest.com/)
12:29:57	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2022%20Aug%202017%2019:29:57%20GMT	http://nest.com/careers/	nest.com/careers/index.html	(from https://nest.com/)
12:29:57	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:57%20GMT	http://nest.com/press/	nest.com/press/index.html	(from https://nest.com/)
12:29:58	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:58%20GMT	http://nest.com/video/	nest.com/video/index.html	(from https://nest.com/)
12:29:58	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:58%20GMT	http://nest.com/developer/	nest.com/developer/index.html	(from https://nest.com/)
12:29:58	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:58%20GMT	http://nest.com/energy-partners/	nest.com/energy-partners/index.html	(from https://nest.com/)
12:29:59	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:59%20GMT	http://nest.com/choose-your-country/	nest.com/choose-your-country/index.html	(from https://nest.com/)
12:29:59	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:59%20GMT	http://nest.com/insurance-partners/	nest.com/insurance-partners/index.html	(from https://nest.com/)
12:29:59	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:29:59%20GMT	http://nest.com/nest-for-business/	nest.com/nest-for-business/index.html	(from https://nest.com/)
12:30:00	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:30:00%20GMT	http://nest.com/legal/privacy-policy-for-nest-web-sites/	nest.com/legal/privacy-policy-for-nest-web-sites/index.html	(from https://nest.com/)
12:30:00	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:30:00%20GMT	http://nest.com/privacy/	nest.com/privacy/index.html	(from https://nest.com/)
12:30:00	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:30:00%20GMT	http://nest.com/privacy/data/	nest.com/privacy/data/index.html	(from https://nest.com/)
12:30:01	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202017%2019:30:01%20GMT	http://nest.com/letter-from-the-ceo/	nest.com/letter-from-the-ceo/index.html	(from https://nest.com/)
12:30:01	378/378	---M--	200	added ('OK')	text/plain	etag:%2259799837-17a%22	http://nest.com/robots.txt		(from https://nest.com/)
12:30:02	39063/39063	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2019:29:54%20GMT	https://nest.com/blog/2017/04/04/hola-mexico/	nest.com/blog/2017/04/04/hola-mexico/index.html	(from https://nest.com/)
