date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:46	45403/45403	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:45%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO.html	(from )
17:10:47	109/109	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Fri,%2014%20Apr%202017%2000:11:58%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/robots.txt		(from )
17:10:47	400/400	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2003%20May%202017%2000:10:47%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/sc.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/sc.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:10:48	48293/48293	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:48%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:10:49	68072/68072	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:49%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens-pants-shorts	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens-pants-shorts.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:10:50	68800/68800	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:50%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens-shirts-sweaters	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens-shirts-sweaters.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:10:51	67622/67622	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:50%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens-jackets	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens-jackets.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:10:53	66453/66453	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:52%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens-footwear	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens-footwear.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:10:53	68392/68392	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:53%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens-accessories	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/womens-accessories.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:10:55	54321/54321	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:53%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:10:55	68941/68941	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:55%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens-shirts-sweaters	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens-shirts-sweaters.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:10:57	68195/68195	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:55%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens-pants-shorts	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens-pants-shorts.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:10:58	68014/68014	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:57%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens-jackets	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens-jackets.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:10:59	68096/68096	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:58%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens-footwear	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens-footwear.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:00	68686/68686	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:10:59%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens-accessories	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/mens-accessories.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:01	44602/44602	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:00%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:02	66594/66594	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:01%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids-shirts-sweaters	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids-shirts-sweaters.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:03	65291/65291	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:02%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids-pants-shorts	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids-pants-shorts.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:04	65851/65851	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:03%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids-jackets	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids-jackets.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:05	65600/65600	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:04%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids-footwear	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids-footwear.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:06	65864/65864	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:05%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids-accessories	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/kids-accessories.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:07	53622/53622	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:06%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/gear	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/gear.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:08	67297/67297	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:07%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/gear-tents	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/gear-tents.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:09	65208/65208	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:08%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/gear-sleeping-bags	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/gear-sleeping-bags.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:10	65912/65912	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:09%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/gear-luggage-duffels	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/gear-luggage-duffels.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:11	68728/68728	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:10%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/gear-bags-backpacks	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/gear-bags-backpacks.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:11	42416/42416	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:11%20GMT	https://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/cart	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/cart.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:12	43470/43470	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:11%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/4434100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/4434100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:13	44553/44553	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:13%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/2217100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/2217100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
17:11:14	43992/43992	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202017%2000:11:14%20GMT	http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/4067100.html	sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO/4067100.html	(from http://sfdc-se01-inside-sfdc-dw.demandware.net/s/NTO)
